"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total transportation","Terajoules","283","units","0","v54272882","1.6.42","11619","","","","0"
"2020","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total transportation","Terajoules","283","units","0","v54272882","1.6.42","10452","","","","0"
"2015","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272883","1.6.43","9065","","","","0"
"2016","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272883","1.6.43","10301","","","","0"
"2017","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272883","1.6.43","","x","","","0"
"2018","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272883","1.6.43","9810","","","","0"
"2019","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272883","1.6.43","10490","","","","0"
"2020","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272883","1.6.43","9126","","","","0"
"2015","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Residential","Terajoules","283","units","0","v54272884","1.6.44","","x","","","0"
"2016","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Residential","Terajoules","283","units","0","v54272884","1.6.44","","x","","","0"
"2017","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Residential","Terajoules","283","units","0","v54272884","1.6.44","","x","","","0"
